NAICS_Industry,NAICS_Industry_Count
Soybean Farming,5047
Oilseed (except Soybean) Farming,216
Dry Pea and Bean Farming,3678
Wheat Farming,7732
Corn Farming,30192
Rice Farming,995
All Other Grain Farming,16164
Potato Farming,631
Other Vegetable (except Potato) and Melon Farming,4210
Orange Groves,236
Citrus (except Orange) Groves,683
Apple Orchards,1891
Grape Vineyards,2558
Strawberry Farming,304
Berry (except Strawberry) Farming,1067
Tree Nut Farming,1521
Fruit and Tree Nut Combination Farming,229
Other Noncitrus Fruit Farming,2203
Mushroom Production,352
Other Food Crops Grown Under Cover,671
Nursery and Tree Production,5911
Floriculture Production,5522
Tobacco Farming,2003
Cotton Farming,3322
Sugarcane Farming,173
Hay Farming,2970
Sugar Beet Farming,489
Peanut Farming,385
All Other Miscellaneous Crop Farming,130355
Beef Cattle Ranching and Farming,17218
Cattle Feedlots,10549
Dairy Cattle and Milk Production,20535
Hog and Pig Farming,4382
Chicken Egg Production,577
Broilers and Other Meat Type Chicken Production,976
Turkey Production,609
Poultry Hatcheries,637
Other Poultry Production,991
Sheep Farming,866
Goat Farming,475
Finfish Farming and Fish Hatcheries,1282
Shellfish Farming,91
Other Aquaculture,303
Apiculture,1460
Horses and Other Equine Production,3787
Fur-Bearing Animal and Rabbit Production,383
All Other Animal Production,30710
Timber Tract Operations,2058
Forest Nurseries and Gathering of Forest Products,964
Logging,8174
Finfish Fishing,513
Shellfish Fishing,454
Other Marine Fishing,177
Hunting and Trapping,2237
Cotton Ginning,620
"Soil Preparation, Planting, and Cultivating",4435
"Crop Harvesting, Primarily by Machine",1891
Postharvest Crop Activities (except Cotton Ginning),2133
Farm Labor Contractors and Crew Leaders,589
Farm Management Services,3067
Support Activities for Animal Production,21436
Support Activities for Forestry,5188
Crude Petroleum Extraction,5284
Natural Gas Extraction,431
Bituminous Coal and Lignite Surface Mining,530
Bituminous Coal Underground Mining,126
Anthracite Mining,51
Iron Ore Mining,89
Gold Ore Mining,356
Silver Ore Mining,35
"Copper, Nickel, Lead, and Zinc Mining",152
Uranium-Radium-Vanadium Ore Mining,50
All Other Metal Ore Mining,56
Dimension Stone Mining and Quarrying,484
Crushed and Broken Limestone Mining and Quarrying,997
Crushed and Broken Granite Mining and Quarrying,204
Other Crushed and Broken Stone Mining and Quarrying,414
Construction Sand and Gravel Mining,2512
Industrial Sand Mining,227
Kaolin and Ball Clay Mining,51
Clay and Ceramic and Refractory Minerals Mining,115
"Potash, Soda, and Borate Mineral Mining",36
Phosphate Rock Mining,19
Other Chemical and Fertilizer Mineral Mining,111
All Other Nonmetallic Mineral Mining,287
Drilling Oil and Gas Wells,2336
Support Activities for Oil and Gas Operations,16014
Support Activities for Coal Mining,541
